Bias Voltage[V],Measured Voltage[V],Measured Capacitance[pF],Capacitance^{-2}[pF]^{-2},Monitoring Current[A]
0.0,0.0,155.54119,4.13341646799e-05,4.583767e-08
-0.5,-0.5,136.1589653,5.39395743588e-05,-1.113016e-07
-1.0,-1.0,127.0630572,6.19386020408e-05,-1.148514e-07
-1.5,-1.5,121.0608765,6.82326709729e-05,-1.4131e-07
-2.0,-2.0,114.2623334,7.65938363496e-05,-1.106169e-07
-2.5,-2.5,108.3014424,8.52572889176e-05,-1.271416e-07
-3.0,-3.0,106.0703343,8.8881653381e-05,-1.331037e-07
-3.5,-3.5,104.2599356,9.1995184626e-05,-1.392059e-07
-4.0,-4.0,102.6910509,9.48276096813e-05,-1.289567e-07
-4.5,-4.5,101.3834881,9.72894037779e-05,-1.603952e-07
-5.0,-5.0,100.2553549,9.94912397447e-05,-1.489661e-07
-5.5,-5.5,99.22330845,0.000101571669845,-1.486722e-07
-6.0,-6.0,98.34808891,0.000103387527573,-1.604971e-07
-6.5,-6.5,97.56646348,0.000105050681325,-1.499017e-07
-7.0,-7.0,96.83346787,0.000106647094795,-1.564523e-07
-7.5,-7.5,96.19352698,0.000108070784165,-1.782665e-07
-8.0,-8.0,95.59977242,0.000109417372891,-1.450867e-07
-8.5,-8.5,95.02976163,0.00011073393171,-1.46002e-07
-9.0,-9.0,94.5160696,0.000111940873926,-1.657708e-07
-9.5,-9.5,94.0364889,0.000113085569516,-1.600606e-07
-10.0,-10.0,93.5628982,0.000114233285521,-1.576478e-07
-10.5,-10.5,93.12979822,0.000115298239489,-1.721496e-07
-11.0,-11.0,92.72581595,0.000116305076886,-1.560225e-07
-11.5,-11.5,92.31873625,0.000117333033348,-1.680312e-07
-12.0,-12.0,91.94693013,0.00011828387191,-1.804633e-07
-12.5,-12.5,91.59035761,0.000119206651973,-1.588618e-07
-13.0,-13.0,91.23619366,0.000120133929626,-1.507181e-07
-13.5,-13.5,90.90533801,0.000121009990836,-1.772973e-07
-14.0,-14.0,90.59210901,0.000121848239697,-1.54615e-07
-14.5,-14.5,90.27291144,0.000122711453784,-1.77943e-07
-15.0,-15.0,89.9744655,0.000123526873446,-1.497367e-07
-15.5,-15.5,89.68600353,0.000124322763723,-1.635311e-07
-16.0,-16.0,89.3929553,0.000125139210219,-1.911206e-07
-16.5,-16.5,89.12283997,0.000125898908698,-1.743361e-07
-17.0,-17.0,88.85939263,0.000126646537033,-1.686741e-07
-17.5,-17.5,88.59075035,0.00012741578663,-1.596834e-07
-18.0,-18.0,88.33909869,0.000128142759525,-1.678478e-07
-18.5,-18.5,88.09126908,0.000128864788908,-1.606689e-07
-19.0,-19.0,87.84305049,0.000129594085726,-1.8218e-07
-19.5,-19.5,87.60475666,0.00013030006272,-1.651216e-07
-20.0,-20.0,87.37564741,0.000130984282855,-1.669496e-07
-20.5,-20.5,87.13810434,0.000131699396379,-1.616618e-07
-21.5,-21.5,86.69491896,0.000133049335562,-1.850028e-07
-22.5,-22.5,86.2532942,0.000134415273044,-1.968325e-07
-23.5,-23.5,85.82650584,0.000135755407007,-1.796611e-07
-24.5,-24.5,85.41308576,0.000137072765762,-1.814108e-07
-25.5,-25.5,84.99928818,0.000138410622687,-1.944751e-07
-26.5,-26.5,84.59135068,0.000139748797989,-1.745513e-07
-27.5,-27.5,84.1797977,0.000141118595213,-1.823994e-07
-28.5,-28.5,83.78531458,0.000142450569817,-1.763347e-07
-29.5,-29.5,83.38256131,0.000143830018748,-1.615238e-07
-30.5,-30.5,82.98400001,0.000145214930097,-2.075318e-07
-31.5,-31.5,82.5760949,0.00014665312386,-1.84041e-07
-32.5,-32.5,82.15207814,0.000148170890893,-1.889016e-07
-33.5,-33.5,81.70981154,0.000149779226127,-2.038092e-07
-34.5,-34.5,81.20960384,0.000151630028358,-1.827709e-07
-35.5,-35.5,80.62689273,0.000153829686229,-1.889176e-07
-36.5,-36.5,79.85899793,0.000156802248936,-2.08512e-07
-37.5,-37.5,78.93684337,0.000160487233045,-1.868138e-07
-38.5,-38.5,78.1294764,0.000163821226231,-1.98621e-07
-39.5,-39.5,77.54437233,0.000166302749684,-2.049794e-07
-40.5,-40.5,77.09333479,0.00016825436338,-2.168602e-07
-41.5,-41.5,76.67350182,0.000170101993184,-1.903667e-07
-42.5,-42.5,76.23181711,0.000172078834535,-1.956569e-07
-43.5,-43.5,75.76506782,0.000174205542104,-1.996775e-07
-44.5,-44.5,75.26474645,0.00017652929799,-2.09172e-07
-45.5,-45.5,74.70995146,0.000179160840634,-1.787612e-07
-46.5,-46.5,74.09065368,0.000182168443287,-1.874422e-07
-47.5,-47.5,73.39899526,0.000185617863685,-2.024633e-07
-48.5,-48.5,72.57451691,0.000189859220167,-1.914385e-07
-49.5,-49.5,71.57538565,0.000195196760866,-2.047308e-07
-50.5,-50.5,70.32140347,0.000202220388521,-2.138458e-07
-51.5,-51.5,68.56751761,0.000212697872804,-1.895759e-07
-52.5,-52.5,65.77864712,0.000231116060404,-2.078979e-07
-53.5,-53.5,59.97744017,0.000277986782963,-1.839282e-07
-53.6,-53.6,58.8302687,0.000288933791132,-4.754141e-09
-53.7,-53.7,57.65982051,0.000300783097706,1.250222e-08
-53.8,-53.8,55.94040688,0.000319557311183,-3.954903e-09
-53.9,-53.9,54.13027401,0.000341286845293,7.082115e-09
-54.0,-54.0,51.32980152,0.000379542863715,1.908255e-08
-54.1,-54.1,48.24225551,0.000429679655264,2.410255e-08
-54.2,-54.2,43.02978234,0.000540084484961,1.464122e-08
-54.3,-54.3,37.32270496,0.000717883177886,2.773997e-08
-54.4,-54.4,29.2628155,0.00116779814689,2.092729e-08
-54.5,-54.5,22.88372995,0.00190961743837,5.159142e-09
-54.6,-54.6,17.47293936,0.00327542802523,2.112875e-08
-54.7,-54.7,14.61695218,0.00468043639438,1.290653e-08
-54.8,-54.8,12.88843295,0.00602004540608,1.142781e-08
-54.9,-54.9,11.53197688,0.00751956077853,3.316179e-08
-55.0,-55.0,10.66130962,0.00879789729587,2.581869e-08
-55.1,-55.1,9.869815384,0.0102655433562,3.423857e-08
-55.2,-55.2,9.354271716,0.0114282580544,1.090651e-08
-55.3,-55.3,8.823859811,0.0128434825717,3.327264e-09
-55.4,-55.4,8.4595473,0.013973517846,3.693377e-08
-55.5,-55.5,8.088832702,0.0152836925819,2.120386e-08
-55.6,-55.6,7.807110123,0.016406630199,2.094066e-08
-55.7,-55.7,7.517124629,0.0176968715545,2.882882e-08
-55.8,-55.8,7.295492714,0.0187884409364,2.850607e-08
-55.9,-55.9,7.062828876,0.0200466880422,1.618052e-08
-56.0,-56.0,6.888390216,0.0210748512303,3.032814e-08
-56.1,-56.1,6.727215636,0.0220967957942,3.260621e-08
-57.1,-57.1,5.528686858,0.0327156847884,-1.749734e-07
-58.1,-58.1,4.869748451,0.0421683826111,-1.978615e-07
-59.1,-59.1,4.459745361,0.0502782178242,-1.936712e-07
-60.1,-60.1,4.187799459,0.0570201357713,-1.831451e-07
-61.1,-61.1,4.041727653,0.0612161353387,-2.154742e-07
-62.1,-62.1,3.974577089,0.063302104782,-1.8043e-07
-63.1,-63.1,3.941347594,0.0643740042853,-1.830432e-07
-64.1,-64.0,3.926235474,0.0648705103639,-2.141756e-07
-65.1,-65.0,3.91599661,0.0652101779974,-1.906438e-07
-66.1,-66.1,3.907652492,0.0654889655098,-2.101555e-07
-67.1,-67.1,3.902506093,0.0656618055095,-2.185657e-07
-68.1,-68.1,3.897654177,0.0658253828012,-1.929459e-07
-69.1,-69.1,3.895624576,0.0658939900617,-3.205249e-07
